,t (s),U (W/m2),T(e/4),T(e/2),T(3e/4)
232,6960.0,0.0,25.114943272973978,24.997499963196624,24.880056727025742
233,6990.0,0.0,25.111572656119062,24.99749996706527,24.883427343880662
234,7020.0,0.0,25.108298775822103,24.997499970527254,24.88670122417762
235,7050.0,0.0,25.105118855748074,24.997499973625324,24.88988114425165
236,7080.0,0.0,25.10203019924263,24.997499976397737,24.892969800757083
237,7110.0,0.0,25.09903018704531,24.99749997887872,24.895969812954405
238,7140.0,0.0,25.096116275068308,24.99749998109891,24.898883724931412
239,7170.0,0.0,25.093285992239014,24.99749998308572,24.901714007760706
240,7200.0,0.0,25.09053693840451,24.997499984863687,24.90446306159521
241,7230.0,0.0,25.087866782296157,24.99749998645475,24.907133217703556
242,7260.0,0.0,25.085273259552633,24.997499987878573,24.90972674044708
243,7290.0,0.0,25.082754170799674,24.997499989152725,24.91224582920004
244,7320.0,0.0,25.080307379784976,24.997499990292948,24.914692620214737
245,7350.0,0.0,25.077930811566578,24.99749999131331,24.917069188433132
246,7380.0,0.0,25.07562245075326,24.997499992226413,24.91937754924645
247,7410.0,0.0,25.073380339795445,24.997499993043537,24.921619660204264
248,7440.0,0.0,25.07120257732515,24.997499993774763,24.923797422674557
249,7470.0,0.0,25.06908731654356,24.997499994429127,24.92591268345614
250,7500.0,0.0,25.06703276365492,24.997499995014707,24.92796723634478
251,7530.0,0.0,25.065037176345324,24.997499995538732,24.929962823654378
252,7560.0,0.0,25.063098862305203,24.99749999600767,24.9319011376945
253,7590.0,0.0,25.0612161777942,24.997499996427315,24.933783822205502
254,7620.0,0.0,25.059387526247235,24.997499996802855,24.935612473752464
255,7650.0,0.0,25.057611356920578,24.997499997138917,24.937388643079117
256,7680.0,0.0,25.055886163576776,24.99749999743965,24.93911383642292
257,7710.0,0.0,25.054210483207324,24.997499997708772,24.940789516792364
258,7740.0,0.0,25.05258289479201,24.997499997949603,24.942417105207678
259,7770.0,0.0,25.051002018093822,24.997499998165118,24.94399798190587
260,7800.0,0.0,25.04946651248849,24.997499998357977,24.945533487511195
261,7830.0,0.0,25.047975075827626,24.997499998530568,24.947024924172055
262,7860.0,0.0,25.04652644333442,24.997499998685015,24.94847355666526
263,7890.0,0.0,25.045119386531123,24.997499998823226,24.94988061346856
264,7920.0,0.0,25.043752712197225,24.997499998946907,24.95124728780246
265,7950.0,0.0,25.042425261357597,24.997499999057588,24.952574738642085
266,7980.0,0.0,25.041135908299655,24.997499999156638,24.953864091700027
267,8010.0,0.0,25.03988355961871,24.997499999245274,24.955116440380973
